pc4;woonplaatscode;woonplaatsnaam;gemeentecode;gemeentenaam;provinciecode;provincienaam;veiligheidsregio;politie-eenheid;omgevingsdienst;drinkwater;netbeheer
9688;1422;Drieborg;1895;Oldambt;20;Groningen;Groningen;Noord-Nederland;Omgevingsdienst Groningen;;Enexis
3465;2477;Driebruggen;1901;Bodegraven-Reeuwijk;28;Zuid-Holland;Hollands Midden;Den Haag;Omgevingsdienst Midden-Holland;Oasen;Stedin
1985;2836;Driehuis NH;0453;Velsen;27;Noord-Holland;Kennemerland;Noord-Holland;Omgevingsdienst IJmond;PWN;Liander
1844;1886;Driehuizen;0361;Alkmaar;27;Noord-Holland;Noord-Holland-Noord;Noord-Holland;RUD Noord-Holland Noord;PWN;Liander
6665;1863;Driel;1734;Overbetuwe;25;Gelderland;Gelderland-Midden;Oost-Nederland;Omgevingsdienst Regio Arnhem;Vitens;Liander
4438;1253;Driewegen;0654;Borsele;29;Zeeland;Zeeland;Zeeland - West-Brabant;RUD Zeeland;Evides;Enduris
9114;3268;Driezum;1891;Dantumadiel;21;Friesland;Fryslân;Noord-Nederland;Utfieringstsjinst Miljeu en Omjouwing Fryslân;Vitens;Liander
9419;3009;Drijber;1731;Midden-Drenthe;22;Drenthe;Drenthe;Noord-Nederland;RUD Drenthe;WMD;Enexis
4924;2574;Drimmelen;1719;Drimmelen;30;Noord-Brabant;Midden- en West-Brabant;Zeeland - West-Brabant;Omgevingsdienst Midden- en West-Brabant;BrabantWater;Enexis
9289;3176;Drogeham;0059;Achtkarspelen;21;Friesland;Fryslân;Noord-Nederland;Utfieringstsjinst Miljeu en Omjouwing Fryslân;Vitens;Liander
7705;3163;Drogteropslagen;1690;De Wolden;22;Drenthe;Drenthe;Noord-Nederland;RUD Drenthe;WMD;Enexis
4267;1952;Drongelen;0738;Aalburg;30;Noord-Brabant;Midden- en West-Brabant;Zeeland - West-Brabant;Omgevingsdienst Midden- en West-Brabant;BrabantWater;Enexis
9035;2729;Dronryp;1949;Waadhoeke;21;Friesland;Fryslân;Noord-Nederland;Utfieringstsjinst Miljeu en Omjouwing Fryslân;Vitens;Liander
8251;2430;Dronten;0303;Dronten;24;Flevoland;Flevoland;Midden-Nederland;Omgevingsdienst Flevoland en Gooi & Vechtstreek;Vitens;Liander
8252;2430;Dronten;0303;Dronten;24;Flevoland;Flevoland;Midden-Nederland;Omgevingsdienst Flevoland en Gooi & Vechtstreek;Vitens;Liander
8253;2430;Dronten;0303;Dronten;24;Flevoland;Flevoland;Midden-Nederland;Omgevingsdienst Flevoland en Gooi & Vechtstreek;Vitens;Liander
8254;2430;Dronten;0303;Dronten;24;Flevoland;Flevoland;Midden-Nederland;Omgevingsdienst Flevoland en Gooi & Vechtstreek;Vitens;Liander
9533;1787;Drouwen;1681;Borger-Odoorn;22;Drenthe;Drenthe;Noord-Nederland;RUD Drenthe;WMD;Enexis
9523;1788;Drouwenermond;1681;Borger-Odoorn;22;Drenthe;Drenthe;Noord-Nederland;RUD Drenthe;WMD;Enexis
9525;1789;Drouwenerveen;1681;Borger-Odoorn;22;Drenthe;Drenthe;Noord-Nederland;RUD Drenthe;WMD;Enexis
5151;3589;Drunen;0797;Heusden;30;Noord-Brabant;Brabant-Noord;Oost-Brabant;Omgevingsdienst Brabant Noord;BrabantWater;Enexis
5152;3589;Drunen;0797;Heusden;30;Noord-Brabant;Brabant-Noord;Oost-Brabant;Omgevingsdienst Brabant Noord;BrabantWater;Enexis
6651;2904;Druten;0225;Druten;25;Gelderland;Gelderland-Zuid;Oost-Nederland;Omgevingsdienst Regio Nijmegen;Vitens;Liander
6652;2904;Druten;0225;Druten;25;Gelderland;Gelderland-Zuid;Oost-Nederland;Omgevingsdienst Regio Nijmegen;Vitens;Liander
6654;2904;Druten;0225;Druten;25;Gelderland;Gelderland-Zuid;Oost-Nederland;Omgevingsdienst Regio Nijmegen;Vitens;Liander
6921;2096;Duiven;0226;Duiven;25;Gelderland;Gelderland-Midden;Oost-Nederland;Omgevingsdienst Regio Arnhem;Vitens;Liander
6922;2096;Duiven;0226;Duiven;25;Gelderland;Gelderland-Midden;Oost-Nederland;Omgevingsdienst Regio Arnhem;Vitens;Liander
6932;2096;Duiven;0226;Duiven;25;Gelderland;Gelderland-Midden;Oost-Nederland;Omgevingsdienst Regio Arnhem;Vitens;Liander
1114;3568;Duivendrecht;0437;Ouder-Amstel;27;Noord-Holland;Amsterdam-Amstelland;Amsterdam;Omgevingsdienst Noordzeekanaalgebied;Waternet;Liander
1115;3568;Duivendrecht;0437;Ouder-Amstel;27;Noord-Holland;Amsterdam-Amstelland;Amsterdam;Omgevingsdienst Noordzeekanaalgebied;Waternet;Liander
5525;2992;Duizel;0770;Eersel;30;Noord-Brabant;Brabant-Zuidoost;Oost-Brabant;Omgevingsdienst Zuidoost-Brabant;BrabantWater;Enexis
4271;2214;Dussen;0870;Werkendam;30;Noord-Brabant;Midden- en West-Brabant;Zeeland - West-Brabant;Omgevingsdienst Midden- en West-Brabant;BrabantWater;Enexis
7991;3110;Dwingeloo;1701;Westerveld;22;Drenthe;Drenthe;Noord-Nederland;RUD Drenthe;WMD;Enexis
9006;2524;Eagum;0080;Leeuwarden;21;Friesland;Fryslân;Noord-Nederland;Utfieringstsjinst Miljeu en Omjouwing Fryslân;Vitens;Liander
9264;2456;Earnewâld;0737;Tytsjerksteradiel;21;Friesland;Fryslân;Noord-Nederland;Utfieringstsjinst Miljeu en Omjouwing Fryslân;Vitens;Liander
8734;2013;Easterein;1900;Súdwest-Fryslân;21;Friesland;Fryslân;Noord-Nederland;Utfieringstsjinst Miljeu en Omjouwing Fryslân;Vitens;Liander
8835;2014;Easterlittens;0080;Leeuwarden;21;Friesland;Fryslân;Noord-Nederland;Utfieringstsjinst Miljeu en Omjouwing Fryslân;Vitens;Liander
9261;2454;Eastermar;0737;Tytsjerksteradiel;21;Friesland;Fryslân;Noord-Nederland;Utfieringstsjinst Miljeu en Omjouwing Fryslân;Vitens;Liander
9021;2015;Easterwierrum;1900;Súdwest-Fryslân;21;Friesland;Fryslân;Noord-Nederland;Utfieringstsjinst Miljeu en Omjouwing Fryslân;Vitens;Liander
6101;2041;Echt;1711;Echt-Susteren;31;Limburg;Limburg-Noord;Limburg;RUD Limburg-Noord;WML;Enexis
6102;2041;Echt;1711;Echt-Susteren;31;Limburg;Limburg-Noord;Limburg;RUD Limburg-Noord;WML;Enexis
4054;3524;Echteld;1740;Neder-Betuwe;25;Gelderland;Gelderland-Zuid;Oost-Nederland;Omgevingsdienst Rivierenland;Vitens;Liander
7932;3164;Echten;1690;De Wolden;22;Drenthe;Drenthe;Noord-Nederland;RUD Drenthe;WMD;Enexis
8537;2241;Echten;1940;De Fryske Marren;21;Friesland;Fryslân;Noord-Nederland;Utfieringstsjinst Miljeu en Omjouwing Fryslân;Vitens;Liander
