wplcode;Woonplaatsnaam;gemcode;Gemeentenaam;Provinciecode;Provincienaam;Veiligheidsregio;Politie-eenheid;Omgevingsdienst
1610;Beinsdorp;0394;Haarlemmermeer;27;Noord-Holland;Kennemerland;Noord-Holland;Omgevingsdienst Noordzeekanaalgebied
1476;Belfeld;0983;Venlo;31;Limburg;Limburg-Noord;Limburg;RUD Limburg-Noord
2231;Bellingwolde;1950;Westerwolde;20;Groningen;Groningen;Noord-Nederland;Omgevingsdienst Groningen
1661;Beltrum;1859;Berkelland;25;Gelderland;Noord- en Oost-Gelderland;Oost-Nederland;Omgevingsdienst Achterhoek
2694;Belt-Schutsloot;1708;Steenwijkerland;23;Overijssel;IJsselland;Oost-Nederland;RUD IJsselland
1691;Bemelen;1903;Eijsden-Margraten;31;Limburg;Zuid-Limburg;Limburg;RUD Zuid-Limburg
3131;Bemmel;1705;Lingewaard;25;Gelderland;Gelderland-Midden;Oost-Nederland;Omgevingsdienst Regio Arnhem
1769;Beneden-Leeuwen;0668;West Maas en Waal;25;Gelderland;Gelderland-Zuid;Oost-Nederland;Omgevingsdienst Rivierenland
3533;Bennebroek;0377;Bloemendaal;27;Noord-Holland;Kennemerland;Noord-Holland;Omgevingsdienst IJmond
2766;Bennekom;0228;Ede;25;Gelderland;Gelderland-Midden;Oost-Nederland;Omgevingsdienst De Vallei
2146;Benneveld;0109;Coevorden;22;Drenthe;Drenthe;Noord-Nederland;RUD Drenthe
3148;Benningbroek;0420;Medemblik;27;Noord-Holland;Noord-Holland-Noord;Noord-Holland;RUD Noord-Holland Noord
1958;Benschop;0331;Lopik;26;Utrecht;Utrecht;Midden-Nederland;RUD Utrecht
1439;Bentelo;1735;Hof van Twente;23;Overijssel;Twente;Oost-Nederland;RUD Twente
2853;Benthuizen;0484;Alphen aan den Rijn;28;Zuid-Holland;Hollands Midden;Den Haag;Omgevingsdienst Midden-Holland
1306;Bentveld;0473;Zandvoort;27;Noord-Holland;Kennemerland;Noord-Holland;Omgevingsdienst IJmond
3618;Berg en Dal;1945;Berg en Dal;25;Gelderland;Gelderland-Zuid;Oost-Nederland;Omgevingsdienst Regio Nijmegen
1716;Berg en Terblijt;0994;Valkenburg aan de Geul;31;Limburg;Zuid-Limburg;Limburg;RUD Zuid-Limburg
2365;Bergambacht;1931;Krimpenerwaard;28;Zuid-Holland;Hollands Midden;Den Haag;Omgevingsdienst Midden-Holland
